0, theatre, ryan, voivodeship, ian, shakespeare
1, library, society, design, academy, architecture
2, theory, social, idea, concept, study
3, ireland, irish, dublin, patrick, brian
4, california, valley, santa, wine, southern
5, florida, rugby, bay, miami, birmingham
6, light, glass, cave, period, large
7, align, center, left, fight, win
8, kill, death, find, escape, dead
9, israel, peace, israeli, nations, palestinian
10, material, temperature, surface, heat, process
11, mark, jack, tom, joe, bob
12, drug, disease, treatment, patient, cause
13, signal, edge, frequency, use, graph
14, northern, hotel, senior, marathon, oak
15, association, member, board, president, conference
16, harris, cooper, ted, chuck, ruth
17, christian, religious, jesus, religion, christ
18, greek, turkish, turkey, greece, ottoman
19, ship, navy, port, naval, boat
20, union, dog, labor, federation, fair
21, japan, japanese, tokyo, max, thailand
22, grand, usa, ret, cat, prix
23, war, force, control, capture, rebel
24, man, agent, eric, alan, brothers
25, jewish, jews, ben, rabbi, pope
26, portuguese, nation, portugal, cox, robertson
27, language, english, word, speak, dialect
28, maria, philippines, anna, philippine, victor
29, montgomery, capitol, shoe, boot, ferguson
30, bill, frank, scott, jackson, wilson
31, black, white, brown, wales, dark
32, organization, public, management, development, agency
33, community, east, found, asian, cultural
34, vietnam, map, vietnamese, antarctic, friday
35, club, league, play, season, football
36, user, online, web, software, internet
37, baseball, league, major, anderson, game
38, food, restaurant, rice, cook, animal
39, north, big, carolina, williams, ross
40, india, indian, singh, delhi, hindi
41, point, player, round, basketball, game
42, partner, venue, caribbean, craig, harvey
43, van, paul, joseph, dutch, netherlands
44, post, issue, travel, print, office
45, tower, wall, building, floor, miss
46, school, student, education, grade, teacher
47, college, university, science, engineering, student
48, room, thompson, shop, diamond, suit
49, officer, fort, chief, unit, staff
50, plant, green, tree, garden, grow
51, china, chinese, emperor, taiwan, wang
52, hockey, ice, nhl, philadelphia, stanley
53, band, guitar, rock, vocal, bass
54, day, month, week, leave, taylor
55, magazine, page, newspaper, editor, times
56, digital, video, davis, miller, feature
57, mike, steve, little, dave, jimmy
58, earth, moon, mass, space, planet
59, beach, pacific, portland, hawaii, shark
60, back, half, six, seven, five
61, role, star, dance, actor, play
62, kingdom, singapore, empire, egypt, relation
63, africa, african, country, steel, scheme
64, king, son, prince, brother, duke
65, united, states, washington, american, maryland
66, louisiana, marshall, friends, arctic, rouge
67, century, old, worker, colony, main
68, march, october, june, september, july
69, french, france, paris, des, les
70, acid, gene, chemical, reaction, dna
71, building, hall, historic, list, register
72, system, information, datum, access, tool
73, episode, series, character, voice, show
74, reference, source, object, google, traditional
75, bar, text, color, till, shift
76, music, orchestra, opera, piano, jazz
77, test, blue, cricket, ball, alexander
78, roman, saint, clark, expedition, border
79, stage, arm, norwegian, norway, parker
80, field, eye, camera, photo, picture
81, writer, short, literature, story, poet
82, car, race, model, ford, vehicle
83, health, hospital, medical, care, medicine
84, coach, football, season, game, yard
85, house, george, estate, lincoln, home
86, company, business, sell, store, market
87, species, genus, marine, adams, shell
88, county, township, jersey, ohio, pennsylvania
89, iran, report, iraq, government, protest
90, david, michael, smith, peter, martin
91, mexico, mexican, hair, nigeria, indigenous
92, virginia, regiment, brigade, civil, general
93, claim, action, case, robot, copyright
94, gold, medal, championships, world, silver
95, power, nuclear, weapon, safety, bomb
96, program, child, education, basic, skill
97, many, among, consider, people, influence
98, division, manager, join, contract, profile
99, john, william, james, thomas, robert
100, brand, beer, drink, coffee, advertising
101, canada, canadian, toronto, ontario, columbia
102, police, charge, code, crime, sentence
103, san, francisco, radio, puerto, diego
104, church, bishop, catholic, parish, cathedral
105, oil, industry, gas, energy, environmental
106, political, philosophy, communist, revolution, congress
107, new, zealand, pool, auckland, wellington
108, god, spirit, life, soul, verse
109, high, school, missouri, kansas, boy
110, gun, present, past, future, rifle
111, ancient, statue, lord, mention, legend
112, frac, mathbf, alpha, equation, partial
113, act, law, rights, rule, state
114, engine, speed, design, use, tank
115, vol, row, comics, marvel, comic
116, bear, american, department, politician, surname
117, council, airport, western, regional, queensland
118, district, village, town, municipality, province
119, queen, young, morris, seal, eagle
120, river, water, creek, flow, wind
121, swedish, sweden, carl, costa, colombia
122, war, camp, great, memorial, britain
123, real, argentina, peru, argentine, copa
124, album, song, release, chart, music
125, bank, branch, block, bell, brazil
126, station, line, railway, road, bridge
127, airport, douglas, morgan, roger, airline
128, wear, tamil, dress, uniform, cap
129, foundation, campaign, raise, archive, charity
130, magic, sky, fantasy, fiction, monster
131, australia, australian, sydney, melbourne, danish
132, walker, warren, turner, butler, clarke
133, mountain, hill, wood, trail, stone
134, forest, bird, species, conservation, reserve
135, air, aircraft, fly, flight, wing
136, producer, sound, production, engineer, produce
137, woman, chicago, women, man, feminist
138, serbian, serbia, croatian, croatia, yugoslavia
139, york, new, prison, gang, kennedy
140, letter, retrieve, latin, gilbert, sullivan
141, horse, ride, hard, clay, double
142, city, street, avenue, neighborhood, area
143, temple, sri, famous, lanka, tourism
144, slave, hope, freedom, afghanistan, são
145, los, angeles, credit, theater, hollywood
146, economic, tax, financial, price, trade
147, johnson, connecticut, yale, notes, memphis
148, university, award, professor, research, study
149, book, isbn, publish, write, novel
150, del, circle, gate, universal, antonio
151, card, scout, memory, computer, device
152, mary, mother, sister, wife, marry
153, love, sex, girl, dream, sexual
154, italian, italy, milan, rome, serie
155, wrestling, tag, match, championship, romanian
156, park, lake, area, located, north
157, current, electric, ray, circuit, roy
158, cell, energy, phase, protein, domain
159, network, launch, service, mobile, limited
160, cancer, body, bone, skin, muscle
161, tribe, abbey, ibn, medieval, arab
162, say, get, tell, want, would
163, movement, ministry, grace, missionary, barcelona
164, election, right, vote, seat, liberal
165, use, often, refer, example, usually
166, space, set, element, ring, function
167, channel, station, radio, broadcast, show
168, michigan, railroad, west, hamilton, manchester
169, age, household, population, female, family
170, site, farm, mine, mill, canal
171, london, british, royal, castle, england
172, fire, train, locomotive, weather, steam
173, court, law, justice, judge, supreme
174, team, win, championship, cup, final
175, south, free, trust, survey, nelson
176, island, coast, islands, desert, gulf
177, file, image, jpg, cross, flag
178, art, museum, artist, painting, gallery
179, polish, poland, german, czech, austria
180, key, piece, type, task, move
181, angel, hampshire, vampire, norfolk, restoration
182, stadium, winner, race, stake, contest
183, russian, soviet, russia, moscow, ukraine
184, spanish, spain, juan, josé, carlos
185, open, event, tour, tournament, golf
186, army, war, battle, force, military
187, lee, korea, korean, kim, min
188, pakistan, khan, ali, muslim, islamic
189, game, player, release, character, version
190, film, award, best, festival, director
191, land, grant, native, settle, americans
192, bbc, kong, hong, news, media
193, party, minister, elect, committee, election
194, german, germany, berlin, europe, european
195, require, must, insurance, benefit, pay
196, human, suggest, behavior, birth, likely
197, texas, mission, youth, houston, volunteer
198, monastery, tradition, practice, monk, buddhist
199, popular, wave, lock, circus, clothing